LSTM 語言模型訓練日誌
啟動時間: 2026-06-04 11:34:49.841177
vocab_size=1675, embed_size=128, hidden_size=128, num_layers=2, dropout=0.3
batch_size=64, lr=0.001, sequence_length=20, val_split=0.1, clip_grad_norm=1.0, min_freq=3, rep_penalty=1.2
================================================================================
 epoch | train_loss |   val_loss |           lr |  grad_norm |                 time
   251 |     2.9566 |     4.9468 |   0.00001000 |     3.3423 |  2026-06-04 11:42:32
   252 |     2.9585 |     4.9470 |   0.00001000 |     3.5715 |  2026-06-04 11:42:34
   253 |     2.9476 |     4.9474 |   0.00001000 |     3.4854 |  2026-06-04 11:42:35
   254 |     2.9507 |     4.9482 |   0.00001000 |     3.6629 |  2026-06-04 11:42:37
   255 |     2.9494 |     4.9479 |   0.00001000 |     3.2253 |  2026-06-04 11:42:38
   256 |     2.9512 |     4.9480 |   0.00001000 |     3.3439 |  2026-06-04 11:42:40
   257 |     2.9496 |     4.9477 |   0.00001000 |     3.4744 |  2026-06-04 11:42:42
   258 |     2.9469 |     4.9481 |   0.00001000 |     3.3143 |  2026-06-04 11:42:43
   259 |     2.9425 |     4.9484 |   0.00001000 |     3.5478 |  2026-06-04 11:42:44
   260 |     2.9508 |     4.9483 |   0.00001000 |     3.6461 |  2026-06-04 11:42:46
   261 |     2.9491 |     4.9487 |   0.00001000 |     3.2400 |  2026-06-04 11:42:48
   262 |     2.9487 |     4.9491 |   0.00001000 |     2.8632 |  2026-06-04 11:42:50
   263 |     2.9501 |     4.9492 |   0.00001000 |     3.9116 |  2026-06-04 11:42:52
   264 |     2.9517 |     4.9491 |   0.00001000 |     3.8862 |  2026-06-04 11:42:53
   265 |     2.9450 |     4.9492 |   0.00001000 |     3.2998 |  2026-06-04 11:42:55
   266 |     2.9431 |     4.9491 |   0.00001000 |     3.2289 |  2026-06-04 11:42:58
   267 |     2.9466 |     4.9496 |   0.00001000 |     3.3144 |  2026-06-04 11:43:00
